Sage Cover Expiry Listing (Detail) From Expiry Date 01/01/2021 To 31/12/2021,,,,,,,,,,,,,,,,,,,,,,,,,,

No.,MyAppID No.,Expiry Date,,Acc Code,Licensee Name,Email,Contact No.,"Acc:1, Inv:2, 1Acc:5",Product Name,Total Users,Main License Price,CU Price,Total Price,,,,,,,,,,,,,
,,,Invoice #,,,,,"POS:3, BSM:4",,,(Inclusive 1 User),,,,,,,,,,,,,,,
Expiry Date : January 2021,,,,,,,,,,,,,,,,,,,,,,,,,,
1,N430000070850,11-01-21,,300P/382,Premium Kitchen Fixtures Sdn Bhd,sherlypua8682@gmail.com,60125216018,2,Sage UBS Inventory & Billing MY,1,400,0,400,,,,,,,,,,,,,
2,N420000563987,12-01-21,,300K/101,KK SUPERMART & SUPERSTORE SDN BHD,support@kkgroup.my,60390573308,1,Sage UBS Accounting & Billing MY,3,400,80,560,,,,,,,,,,,,,
3,N420000267526,14-01-21,,300A/368,AZ Hajjahz Lifestyle Sdn Bhd,azanuuras@gmail.com,60123385333,1,Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
4,N420000565626,14-01-21,,300R/154,RDA Healy Sdn Bhd,healymacs12bar@gmail.com,60321717181,1,Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
5,N080000709085,15-01-21,,300O/067,OG GRAPHIC SDN BHD,klchoyog@yahoo.com,389453548,1,Upg - Sage UBS Accounting & Billing MY,1,400,0,400,,,,,,,,,,,,,
6,N080002879969,18-01-21,,300D/143,Dalal Technology Sdn Bhd,izam@dalaltechnology.com.my,6037831,1,Sage UBS Accounting & Billing MY,8,400,80,960,,,,,,,,,,,,,
7,N360000043133,18-01-21,,300O/067,OG GRAPHIC SDN BHD,klchoyog@yahoo.com,389453548,7,Upg - Sage Payroll 30 MY,1,250,0,250,,,,,,,,,,,,,
8,N100000166818,19-01-21,,300B/184,Bawal Ratu Enterprise,nurulfatin2111@yahoo.com,60197702131,3,Sage POS MY,1,200,0,200,,,,,,,,,,,,,
9,N410000009846,19-01-21,,300T/307,TRANSAFE CONSULT SDN BHD,anis@transafe-consult.com,60195244247,5,Sage UBS one Accounting & Billing MY,1,200,0,200,,,,,,,,,,,,,
10,N420000569134,20-01-21,,300R/155,RF3 World Sdn Bhd,megha_219@yahoo.com,60351039117,1,Sage UBS Accounting & Billing MY,5,400,80,720,,,,,,,,,,,,,
